year,team_name,team_grade
2021,AIR FORCE,92.6
2021,AKRON,53.6
2021,ALABAMA,91.9
2021,APP STATE,90.3
2021,ARIZONA,58.9
2021,ARIZONA ST,82.3
2021,ARKANSAS,84
2021,ARK STATE,65.8
2021,ARMY,89.7
2021,AUBURN,83.5
2021,BALL ST,72.1
2021,BAYLOR,91.3
2021,BOISE ST,84.2
2021,BOSTON COL,88.4
2021,BOWL GREEN,66.5
2021,BUFFALO,74.8
2021,BYU,90.5
2021,CAL,80
2021,C MICHIGAN,88
2021,CHARLOTTE,66.9
2021,CINCINNATI,91.5
2021,CLEMSON,82.5
2021,COAST CAR,91.2
2021,COLORADO,66.7
2021,COLO STATE,81
2021,UCONN,60.4
2021,DUKE,67.5
2021,E CAROLINA,72.8
2021,E MICHIGAN,77.4
2021,FLORIDA,76.8
2021,FAU,76.9
2021,FIU,69.8
2021,FLORIDA ST,78
2021,FRESNO ST,85.5
2021,GEORGIA,95.2
2021,GA SOUTHRN,61.3
2021,GA STATE,82.1
2021,GA TECH,67.8
2021,HAWAII,74.3
2021,HOUSTON,92
2021,ILLINOIS,82.4
2021,INDIANA,70.2
2021,IOWA,88.8
2021,IOWA STATE,87.3
2021,KANSAS,62.1
2021,KANSAS ST,82.4
2021,KENT STATE,78.2
2021,KENTUCKY,91.1
2021,LIBERTY,88.3
2021,LA LAFAYET,91.3
2021,LA TECH,73
2021,LA MONROE,59.5
2021,LOUISVILLE,85
2021,LSU,83
2021,MARSHALL,83.5
2021,MARYLAND,75.6
2021,UMASS,50.9
2021,MEMPHIS,79.7
2021,MIAMI FL,76.5
2021,MIAMI OH,82.2
2021,MICHIGAN,91.9
2021,MICH STATE,86.4
2021,MIDDLE TN,73.4
2021,MINNESOTA,91.9
2021,OLE MISS,81.2
2021,MISS STATE,81.2
2021,MISSOURI,81.4
2021,NAVY,67.9
2021,NEBRASKA,76.2
2021,NEVADA,82.2
2021,NEW MEXICO,62.4
2021,NEW MEX ST,51
2021,N CAROLINA,81.3
2021,NC STATE,88.2
2021,N TEXAS,77.5
2021,N ILLINOIS,72.6
2021,NWESTERN,65.9
2021,NOTRE DAME,91.4
2021,OHIO,72
2021,OHIO STATE,93.4
2021,OKLAHOMA,91.8
2021,OKLA STATE,91.3
2021,DOMINION,77.1
2021,OREGON,76.4
2021,OREGON ST,86.2
2021,PENN STATE,80.1
2021,PITTSBURGH,88.2
2021,PURDUE,79.4
2021,RICE,68.2
2021,RUTGERS,67.5
2021,S DIEGO ST,87.9
2021,S JOSE ST,72.9
2021,SMU,84.6
2021,S ALABAMA,73.5
2021,S CAROLINA,79
2021,SO MISS,64.9
2021,STANFORD,64.9
2021,SYRACUSE,74.7
2021,TCU,75.4
2021,TEMPLE,62.5
2021,TENNESSEE,78.8
2021,TEXAS,78.7
2021,TEXAS A&M,90.4
2021,TEXAS TECH,72.7
2021,TEXAS ST,79.7
2021,TOLEDO,83.9
2021,TROY,80.9
2021,TULANE,69.5
2021,TULSA,83.8
2021,UAB,91
2021,UCF,81.6
2021,UCLA,80.3
2021,UNLV,72.6
2021,USC,84.5
2021,USF,68
2021,UTAH,89.7
2021,UTAH ST,76.8
2021,UTEP,82.3
2021,UTSA,84.2
2021,VANDERBILT,60.1
2021,VIRGINIA,80.3
2021,VA TECH,77.5
2021,WAKE,90.9
2021,WASHINGTON,78.8
2021,WASH STATE,77
2021,W VIRGINIA,79.8
2021,W KENTUCKY,88.2
2021,W MICHIGAN,83.9
2021,WISCONSIN,92.6
2021,WYOMING,88
